"Name","StatusString","Owner","HostName","OperatingSystem","CPUCount","Memory","TotalSize","Version","VMCheckpoints"
"etr-tfs-06","Running","ETR\d.khromenko","etr-host-04.etr.eastbanctech.ru","Windows Server 2016 Standard","16","49152","615358922752","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-sigma-gluster-01","Running","ETR\e.paraga","etr-host-14.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","4096","55507419136","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"te-seconion-01","Running","ETR\a.rusinov","etr-host-04.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","8192","72582430720","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-ceph-01","Running","ETR\a.rusinov","etr-host-06.etr.eastbanctech.ru","Other Linux (64 bit)","4","8192","16248733696","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-vsk-05","Running","ETR\s.goryakin","etr-host-03.etr.eastbanctech.ru","Other Linux (64 bit)","2","4096","9701425152","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-te-k8s-03","Running","ETR\e.paraga","etr-host-04.etr.eastbanctech.ru","Other Linux (64 bit)","24","32768","54500786176","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"s7-adfs-test","Running","ETR\y.grishkin","etr-host-04.etr.eastbanctech.ru","64-bit edition of Windows Server 2008 R2 Standard","2","4096","111337799680","5.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-matiss-02","Stopped","ETR\g.sidorov","dev-host-02.etr.eastbanctech.ru","64-bit edition of Windows Server 2012 Standard","2","1024","136134524928","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-hrdt-18","Stopped","ETR\a.tsebenko","etr-host-03.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","6144","28592570880","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-hrdt-24","Stopped","ETR\a.tsebenko","etr-host-02.etr.eastbanctech.ru","Other Linux (64 bit)","4","6144","11383341056","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-s7-multipass-01","Running","ETR\k.skorobogatov","etr-host-06.etr.eastbanctech.ru","Ubuntu Linux 16.04 (64 bit)","2","5120","22175285248","5.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-pg-01","Running","ETR\e.paraga","etr-host-03.etr.eastbanctech.ru","Other Linux (64 bit)","8","8192","43360714752","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-dc-06-old","Stopped","ETR\d.khromenko","dev-host-01.etr.eastbanctech.ru","Windows Server 2016 Standard","8","4096","42685431808","5.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-site-02","Stopped","ETR\y.bushuev","dev-host-02.etr.eastbanctech.ru","Unknown","8","4096","7688159232","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"vsm-dc-03","Running","ETR\d.khromenko","etr-host-06.etr.eastbanctech.ru","Windows Server 2016 Standard","4","4096","43054530560","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"te-dtrack-01","Running","ETR\a.rusinov","etr-host-07.etr.eastbanctech.ru","Other Linux (64 bit)","4","8192","16814964736","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-efko-01","Running","ETR\d.simakov","etr-host-07.etr.eastbanctech.ru","Ubuntu Linux 16.04 (64 bit)","4","8192","42450550784","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"te-k8s-03","Running","ETR\e.paraga","etr-host-03.etr.eastbanctech.ru","Other Linux (64 bit)","24","32768","51380224000","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"te-ex-01","Running","ETR\d.khromenko","etr-host-14.etr.eastbanctech.ru","Windows Server 2019 Standard","24","65536","741594890240","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-term-03","Running","ETR\d.khromenko","etr-host-08.etr.eastbanctech.ru","Windows Server 2019 Standard","4","4096","55067017216","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-delegationservice-db-01","Running","ETR\e.paraga","etr-host-06.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","2","4096","40374370304","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
